"date","state","usage"
"15-06-2014","NJ",19831
"15-06-2014","NM",2126
"15-06-2014","NY",47263
"15-06-2014","NC",14470
"15-06-2014","ND",923
"15-06-2014","OH",16685
"15-06-2014","OK",6108
"15-06-2014","OR",8076
"15-06-2014","PA",17267
"15-06-2014","RI",2452
"15-06-2014","SC",8244
"15-06-2014","SD",909
"15-06-2014","TN",10988
"15-06-2014","TX",56507
"15-06-2014","UT",3404
"15-06-2014","VT",686
"15-06-2014","VA",13235
"15-06-2014","WA",10300
"15-06-2014","WV",2148
"15-06-2014","WI",7086
"15-06-2014","WY",608
"15-06-2014","AS",NA
"15-06-2014","GU",NA
"15-06-2014","MP",NA
"15-06-2014","PR",NA
"15-06-2014","UM",NA
"15-06-2014","VI",NA
"16-06-2014","AL",6726
"16-06-2014","AK",NA
"16-06-2014","AZ",9232
"16-06-2014","AR",2672
"16-06-2014","CA",74219
"16-06-2014","CO",7637
"16-06-2014","CT",7472
"16-06-2014","DE",1450
"16-06-2014","DC",6608
"16-06-2014","FL",38086
"16-06-2014","GA",17872
"16-06-2014","HI",NA
"16-06-2014","ID",1464
"16-06-2014","IL",21850
"16-06-2014","IN",8700
"16-06-2014","IA",4749
"16-06-2014","KS",4703
"16-06-2014","KY",5712
"16-06-2014","LA",6770
"16-06-2014","ME",1896
"16-06-2014","MD",10533
"16-06-2014","MA",13802
"16-06-2014","MI",13596
"16-06-2014","MN",7866
"16-06-2014","MS",3127
"16-06-2014","MO",8525
"16-06-2014","MT",794
"16-06-2014","NE",3460
"16-06-2014","NV",7061
"16-06-2014","NH",2066
"16-06-2014","NJ",19213
"16-06-2014","NM",2454
"16-06-2014","NY",45808
"16-06-2014","NC",15405
"16-06-2014","ND",1174
"16-06-2014","OH",18313
"16-06-2014","OK",6237
"16-06-2014","OR",8247
"16-06-2014","PA",18264
"16-06-2014","RI",2290
"16-06-2014","SC",9234
"16-06-2014","SD",965
"16-06-2014","TN",10023
"16-06-2014","TX",48313
"16-06-2014","UT",3534
"16-06-2014","VT",814
"16-06-2014","VA",13874
"16-06-2014","WA",11919
"16-06-2014","WV",2193
"16-06-2014","WI",7764
"16-06-2014","WY",559
"16-06-2014","AS",NA
"16-06-2014","GU",NA
"16-06-2014","MP",NA
"16-06-2014","PR",NA
"16-06-2014","UM",NA
"16-06-2014","VI",NA
"17-06-2014","AL",5888
"17-06-2014","AK",1
"17-06-2014","AZ",8754
"17-06-2014","AR",2444
"17-06-2014","CA",73884
"17-06-2014","CO",7174
"17-06-2014","CT",6132
"17-06-2014","DE",1285
"17-06-2014","DC",6776
"17-06-2014","FL",36117
"17-06-2014","GA",15864
"17-06-2014","HI",NA
"17-06-2014","ID",1270
"17-06-2014","IL",19556
"17-06-2014","IN",6989
"17-06-2014","IA",3954
"17-06-2014","KS",3879
"17-06-2014","KY",4901
"17-06-2014","LA",5976
"17-06-2014","ME",1652
"17-06-2014","MD",8692
"17-06-2014","MA",12911
"17-06-2014","MI",12949
"17-06-2014","MN",6583
"17-06-2014","MS",3088
"17-06-2014","MO",7377
"17-06-2014","MT",643
"17-06-2014","NE",2920
"17-06-2014","NV",7020
"17-06-2014","NH",1929
"17-06-2014","NJ",16678
"17-06-2014","NM",2183
"17-06-2014","NY",44371
"17-06-2014","NC",13185
"17-06-2014","ND",928
"17-06-2014","OH",14794
"17-06-2014","OK",5358
"17-06-2014","OR",7657
"17-06-2014","PA",16009
"17-06-2014","RI",2004
"17-06-2014","SC",7927
"17-06-2014","SD",760
"17-06-2014","TN",8137
"17-06-2014","TX",47483
"17-06-2014","UT",3432
"17-06-2014","VT",679
"17-06-2014","VA",11817
"17-06-2014","WA",8802
"17-06-2014","WV",2033
"17-06-2014","WI",6878
"17-06-2014","WY",732
"17-06-2014","AS",NA
"17-06-2014","GU",NA
"17-06-2014","MP",NA
"17-06-2014","PR",NA
"17-06-2014","UM",NA
"17-06-2014","VI",NA
"18-06-2014","AL",6727
"18-06-2014","AK",3
"18-06-2014","AZ",9503
"18-06-2014","AR",3085
"18-06-2014","CA",80936
"18-06-2014","CO",8899
"18-06-2014","CT",6376
"18-06-2014","DE",1824
"18-06-2014","DC",7240
"18-06-2014","FL",45224
"18-06-2014","GA",17601
"18-06-2014","HI",NA
"18-06-2014","ID",1437
"18-06-2014","IL",21159
"18-06-2014","IN",8158
"18-06-2014","IA",4350
"18-06-2014","KS",4953
"18-06-2014","KY",5282
"18-06-2014","LA",7577
"18-06-2014","ME",1888
"18-06-2014","MD",9504
"18-06-2014","MA",13607
"18-06-2014","MI",16053
"18-06-2014","MN",7997
"18-06-2014","MS",2994
"18-06-2014","MO",8154
"18-06-2014","MT",668
"18-06-2014","NE",3144
"18-06-2014","NV",9174
"18-06-2014","NH",1998
