source|text|created_at|retweet_count|favorite_count|is_retweet|id_str
Twitter for iPhone|Today, I was pleased to announce the official approval of the presidential permit for the #KeystonePipeline. A grea… https://t.co/GWNo2XAueg|03-24-2017 17:03:46|12933|66692|false|845320243614547968
Twitter for iPhone|The irony is that the Freedom Caucus, which is very pro-life and against Planned Parenthood, allows P.P. to continue if they stop this plan!|03-24-2017 12:23:00|13364|61991|false|845249587178819584
Twitter for iPhone|After seven horrible years of ObamaCare (skyrocketing premiums &amp; deductibles, bad healthcare), this is finally your chance for a great plan!|03-24-2017 12:14:32|12566|68241|false|845247455868391425
Twitter for iPhone|It was an honor to welcome so many truckers and trucking industry leaders to the @WhiteHouse today! https://t.co/M1veooVBNE|03-23-2017 22:19:43|16516|77882|false|845037368386207746
Twitter for iPhone|We are taking action to #RepealANDReplace #Obamacare! Contact your Rep &amp; tell them you support #AHCA. #PassTheBill… https://t.co/5lsrDJXfzb|03-23-2017 16:07:55|9250|41226|false|844943801848414209
Twitter for iPhone|A great American, Kurt Cochran, was killed in the London terror attack. My prayers and condolences are with his family and friends.|03-23-2017 15:16:24|23258|117021|false|844930836663357440
Twitter for iPhone|Just watched the totally biased and fake news reports of the so-called Russia story on NBC and ABC. Such dishonesty!|03-23-2017 12:18:33|21324|94648|false|844886082663698436
Twitter for iPhone|Spoke to U.K. Prime Minister Theresa May today to offer condolences on the terrorist attack in London. She is strong and doing very well.|03-23-2017 01:33:54|19750|117705|false|844723847094026242
Twitter for iPhone|RT @mitchellvii: Trump always ends up being right.  It's almost a little freaky.|03-23-2017 01:04:32|18742|0|true|844716458844311553
Twitter for iPhone|RT @mitchellvii: EXACTLY AS I SAID - House Intel Chair: We Cannot Rule Out Sr. Obama Officials Were Involved in Trump Surveillance https://…|03-23-2017 01:03:18|13778|0|true|844716149828993025
Twitter for iPhone|Big day for healthcare. Working hard!|03-22-2017 13:09:35|13100|89890|false|844536536930619393
Twitter for iPhone|Today on #NationalAgDay, we honor our great American farmers &amp; ranchers. Their hard work &amp; dedication are ingrained… https://t.co/IpGRhly2zj|03-21-2017 18:12:05|14861|67189|false|844250273740738562
Twitter for iPhone|Honored to sign S.442 today. With this legislation, we support @NASA's scientists, engineers, and astronauts in the… https://t.co/Z5VwluvJQx|03-21-2017 17:33:23|14933|66831|false|844240534562594817
Twitter for iPhone|Joined the @HouseGOP Conference this morning at the U.S. Capitol. https://t.co/03e4YBIWr0 #PassTheBill #MAGA🇺🇸… https://t.co/3swdFWGQtP|03-21-2017 17:02:31|6104|36015|false|844232766711648256
Twitter for iPhone|Thank you Louisville, Kentucky. Together, we will MAKE AMERICA SAFE AND GREAT AGAIN! https://t.co/qGgWEWUvek|03-21-2017 02:18:20|14694|76178|false|844010257454153729
Twitter for iPhone|Thank you Louisville, Kentucky- on my way! #MAGA🇺🇸 https://t.co/3QsBsib6kt|03-20-2017 23:03:36|11182|61295|false|843961248811225089
Twitter for iPhone|Congratulations Eric &amp; Lara. Very proud and happy for the two of you! https://t.co/s0T3cTQc40|03-20-2017 17:15:18|13712|101328|false|843873596963459072
Twitter for iPhone|What about all of the contact with the Clinton campaign and the Russians? Also, is it true that the DNC would not let the FBI in to look?|03-20-2017 13:14:49|21762|82212|false|843813078076719107
Twitter for iPhone|Just heard Fake News CNN is doing polls again despite the fact that their election polls were a WAY OFF disaster. Much higher ratings at Fox|03-20-2017 12:35:14|18554|90586|false|843803115044454402
Twitter for iPhone|The real story that Congress, the FBI and all others should be looking into is the leaking of Classified information. Must find leaker now!|03-20-2017 11:02:57|16524|64829|false|843779892776964097
Twitter for iPhone|The Democrats made up and pushed the Russian story as an excuse for running a terrible campaign. Big advantage in Electoral College &amp; lost!|03-20-2017 10:49:48|20285|88161|false|843776582825267201
Twitter for iPhone|James Clapper and others stated that there is no evidence Potus colluded with Russia. This story is FAKE NEWS and everyone knows it!|03-20-2017 10:35:28|17306|71349|false|843772976151642112
Twitter for iPhone|#ICYMI: Weekly Address ➡️https://t.co/ckVx2zgA1x https://t.co/dTGZLvlsGv|03-19-2017 20:20:22|7472|36626|false|843557782666317826
Twitter for iPhone|...vast sums of money to NATO &amp; the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!|03-18-2017 13:23:37|19439|86753|false|843090516283723776
Twitter for iPhone|Despite what you have heard from the FAKE NEWS, I had a GREAT meeting with German Chancellor Angela Merkel. Nevertheless, Germany owes.....|03-18-2017 13:15:41|21088|95449|false|843088518339612673
Twitter for iPhone|Great meeting with the @RepublicanStudy Committee this morning at the @WhiteHouse! https://t.co/8Y2UoHoYaY|03-17-2017 15:39:10|8244|46668|false|842762240184999936
Twitter for iPhone|"The President Changed. So Has Small Businesses' Confidence"https://t.co/daTGjPmYeJ|03-17-2017 14:07:26|11473|51602|false|842739155230740481
Twitter for iPhone|North Korea is behaving very badly. They have been "playing" the United States for years. China has done little to help!|03-17-2017 13:07:15|20995|89407|false|842724011234791424
Twitter for iPhone|RT @foxandfriends: FOX NEWS ALERT: Jihadis using religious visa to enter US, experts warn (via @FoxFriendsFirst) https://t.co/pwXeR9OMQC|03-17-2017 12:34:17|11472|0|true|842715710765830147
Twitter for iPhone|RT @foxandfriends: VIDEO: Rep. Scalise — GOP agrees on over 85 percent of health care bill https://t.co/05dtfjAUbx|03-17-2017 12:30:25|3436|0|true|842714739365105664
Twitter for iPhone|RT @AmericaFirstPol: MAJOR IMPACT: @POTUS Trump is 50 Days in and moving swiftly to get America back on the right track. #MAGA https://t.c…|03-17-2017 12:26:12|6006|0|true|842713677174358016
Twitter for iPhone|RT @FoxNews: Jobs created in February. https://t.co/sOaMDxxTA8|03-17-2017 12:20:22|7649|0|true|842712210896052225
Twitter for iPhone|Happy Lá Fheile Phadraig to all of my great Irish friends!|03-17-2017 12:12:04|12118|68486|false|842710123852320770
Twitter for iPhone|RT @DiamondandSilk: When the President says "You're Fired"     That means: "Pack Yo Stuff and Go, Not Say "You Refuse to Go!  #DrainTheSwam…|03-17-2017 09:35:58|10854|0|true|842670836905639936
Twitter for iPhone|My representatives had a great meeting w/ the Hispanic Chamber of Commerce at the WH today. Look forward to tremendous growth &amp; future mtgs!|03-16-2017 22:43:32|10595|64627|false|842506649122279425
Twitter for iPhone|Great progress on healthcare. Improvements being made - Republicans coming together!|03-16-2017 21:54:02|11256|70239|false|842494190990901248
Twitter for iPhone|RT @USHCC: USHCC was delighted to host @IvankaTrump for a roundtable discussion w/ Hispanic women biz owners today in Washington #USHCCLegi…|03-16-2017 21:43:07|7391|0|true|842491443675611138
Twitter for iPhone|An honor to welcome the Taoiseach of Ireland, @EndaKennyTD to the @WhiteHouse today with @VP Pence. 🇺🇸🇮🇪 https://t.co/J3iTl2iSiQ|03-16-2017 20:09:38|10786|53018|false|842467917639913472
Twitter for iPhone|A budget that puts #AmericaFirst must make safety its no. 1 priority—without safety there can be no prosperity: https://t.co/9lxx1iQo7m|03-16-2017 15:52:22|14546|68627|false|842403173742579714
Twitter for iPhone|Thank you Nashville, Tennessee! https://t.co/6snvQ0DzXN|03-16-2017 04:20:41|15166|80319|false|842229104434913280
